# mx 1.7.0 export -- 22 host(s), last 60s, 884 sample(s)
# run shape: 256 bytes out -> 4096 bytes back, 12 layers x 30s dwell
# window covers 2026-08-31 18:14:45 .. 2026-08-31 18:15:45
# NIC line rate 25 Gb/s: mx_line_util included
# 1 host(s) went quiet before the window: wr01r04u05
# 1 host(s) in the matrix never reported at all: wr01r04u06
!test	mx_pps	unit=pps higher=good decimals=0 short=PPS label="Requests sent"
!test	mx_rep_pps	unit=pps higher=good decimals=0 short=REP label="Replies received"
!test	mx_loss	unit=% higher=bad decimals=2 short=LOSS label="Round-trip loss"
!test	mx_achieved	unit=% higher=good palette=rdbu min=0 max=200 agg=median decimals=0 short=ACHV label="Rate achieved vs target"
!test	mx_rtt_avg	unit=us higher=bad decimals=0 short=AVG label="RTT mean over this host's flows"
!test	mx_rtt_p50	unit=us higher=bad decimals=0 short=P50 label="RTT p50, worst peer"
!test	mx_rtt_p99	unit=us higher=bad agg=max decimals=0 short=P99 label="RTT p99, worst peer"
!test	mx_rtt_max	unit=us higher=bad agg=max decimals=0 short=MAX label="RTT max, worst peer"
!test	mx_cpu	unit=% higher=bad min=0 max=100 decimals=0 short=CPU label="Host CPU"
!test	mx_cpu_core	unit=% higher=bad min=0 max=100 agg=max decimals=0 short=CORE label="Busiest core"
!test	mx_agent_cpu	unit=% higher=bad agg=max decimals=0 short=ACPU label="Busiest mx worker, share of a core"
!test	mx_request_gbps	unit=Gb/s higher=good decimals=2 short=REQ label="Requests on the wire" min=0 max=25
!test	mx_rel_median	unit=% higher=good palette=rdbu min=0 max=200 agg=median decimals=0 short=REL label="Packet rate vs fleet median"
!test	mx_served_pps	unit=pps higher=good decimals=0 short=SRV label="Requests arriving here"
!test	mx_egress_gbps	unit=Gb/s higher=good decimals=2 short=EGR label="Egress on the wire" min=0 max=25
!test	mx_line_util	unit=% higher=good min=0 max=100 agg=median decimals=0 short=UTIL label="Egress vs NIC line rate"
!test	mx_coverage	unit=% higher=good min=0 max=100 agg=min decimals=0 short=COV label="Peers measured so far"
!test	mx_peers	higher=good agg=min decimals=0 short=PEER label="Flows this host sends"
!test	mx_intervals	higher=good agg=min decimals=0 short=IVL label="Report intervals in the window"
!test	mx_workers	higher=good agg=min decimals=0 short=WRK label="Agent worker processes"
!test	mx_forward_loss	unit=% higher=bad decimals=2 short=FWD label="Requests lost on the way out"
!test	mx_return_loss	unit=% higher=bad decimals=2 short=RET label="Replies lost on the way back"
!test	mx_state	agg=last short=STATE label="Did this host report?"
!test	mx_peer_pps	unit=pps higher=good agg=mean decimals=0 short=PPS label="Requests sent to one peer"
!test	mx_peer_loss	unit=% higher=bad agg=max decimals=2 short=LOSS label="Round-trip loss, worst peer"
!test	mx_peer_rtt_p99	unit=us higher=bad agg=max decimals=0 short=P99 label="RTT p99, worst peer"
mx_pps	wr01r01u01	80000	run=demo-01
mx_rep_pps	wr01r01u01	79960	run=demo-01
mx_loss	wr01r01u01	0.05	run=demo-01
mx_achieved	wr01r01u01	100	run=demo-01
mx_rtt_avg	wr01r01u01	178	run=demo-01
mx_rtt_p50	wr01r01u01	104	run=demo-01
mx_rtt_p99	wr01r01u01	430	run=demo-01
mx_rtt_max	wr01r01u01	774	run=demo-01
mx_cpu	wr01r01u01	29	run=demo-01
mx_cpu_core	wr01r01u01	42	run=demo-01
mx_agent_cpu	wr01r01u01	34	run=demo-01
mx_request_gbps	wr01r01u01	0.2061	run=demo-01
mx_rel_median	wr01r01u01	100	run=demo-01
mx_served_pps	wr01r01u01	78769	run=demo-01
mx_egress_gbps	wr01r01u01	2.827	run=demo-01
mx_line_util	wr01r01u01	11.31	run=demo-01
mx_coverage	wr01r01u01	43.48	run=demo-01
mx_peers	wr01r01u01	6	run=demo-01
mx_intervals	wr01r01u01	13	run=demo-01
mx_workers	wr01r01u01	4	run=demo-01
mx_pps	wr01r01u02	80000	run=demo-01
mx_rep_pps	wr01r01u02	79960	run=demo-01
mx_loss	wr01r01u02	0.05	run=demo-01
mx_achieved	wr01r01u02	100	run=demo-01
mx_rtt_avg	wr01r01u02	178	run=demo-01
mx_rtt_p50	wr01r01u02	104	run=demo-01
mx_rtt_p99	wr01r01u02	430	run=demo-01
mx_rtt_max	wr01r01u02	774	run=demo-01
mx_cpu	wr01r01u02	29	run=demo-01
mx_cpu_core	wr01r01u02	42	run=demo-01
mx_agent_cpu	wr01r01u02	34	run=demo-01
mx_request_gbps	wr01r01u02	0.2061	run=demo-01
mx_rel_median	wr01r01u02	100	run=demo-01
mx_served_pps	wr01r01u02	72615	run=demo-01
mx_egress_gbps	wr01r01u02	2.623	run=demo-01
mx_line_util	wr01r01u02	10.49	run=demo-01
mx_coverage	wr01r01u02	43.48	run=demo-01
mx_peers	wr01r01u02	6	run=demo-01
mx_intervals	wr01r01u02	13	run=demo-01
mx_workers	wr01r01u02	4	run=demo-01
mx_pps	wr01r01u03	80000	run=demo-01
mx_rep_pps	wr01r01u03	79960	run=demo-01
mx_loss	wr01r01u03	0.05	run=demo-01
mx_achieved	wr01r01u03	100	run=demo-01
mx_rtt_avg	wr01r01u03	178	run=demo-01
mx_rtt_p50	wr01r01u03	104	run=demo-01
mx_rtt_p99	wr01r01u03	430	run=demo-01
mx_rtt_max	wr01r01u03	774	run=demo-01
mx_cpu	wr01r01u03	29	run=demo-01
mx_cpu_core	wr01r01u03	42	run=demo-01
mx_agent_cpu	wr01r01u03	34	run=demo-01
mx_request_gbps	wr01r01u03	0.2061	run=demo-01
mx_rel_median	wr01r01u03	100	run=demo-01
mx_served_pps	wr01r01u03	60062	run=demo-01
